"Library";"Shelfmark";"Identifier";"Pages";"Derivatives";"Notes"
"bl";"ashley_ms_4040";"ashley_ms_4040";255;"Y";
"bl";"loan_ms_70_08";"loan_ms_70_08";19;"Y";
"hu";"hm2111";"hm2111";197;;
"hu";"hm2176";"hm2176";159;;
"hu";"hm2177";"hm2177";203;;
"mh";"ms_eng_258_2";"modbm_ms_eng_258_2";110;"Y";
"mh";"ms_eng_258_3";"modbm_ms_eng_258_3";30;"Y";
"ox";"cmd_6231";"aoc2012";3;;
"ox";"ms_abinger_c45";"amu2012";7;;
"ox";"ms_abinger_c56";"bgi2011";133;"Y";
"ox";"ms_abinger_c57";"bgj2011";191;"Y";
"ox";"ms_abinger_c58";"bgk2011";63;"Y";
"ox";"ms_abinger_c67";"any2012";5;;
"ox";"ms_montagu_d18";"anx2012";5;;
"ox";"ms_shelley_adds_b2";"aku2012";5;;
"ox";"ms_shelley_adds_c4";"bhv2011";621;;"We also received four duplicate images (with different filenames) from ms_shelley_adds_c4 in a batch named ""xhr2012""."
"ox";"ms_shelley_adds_c5";"ams2012";41;;
"ox";"ms_shelley_adds_c12";"bih2011";11;;
"ox";"ms_shelley_adds_d3";"akv2012";4;;
"ox";"ms_shelley_adds_e3";"akn2012";9;;
"ox";"ms_shelley_adds_e6";"bjm2011";194;;
"ox";"ms_shelley_adds_e7";"bjn2011";269;;
"ox";"ms_shelley_adds_e8";"bjo2011";186;;
"ox";"ms_shelley_adds_e9";"bjy2011";388;;
"ox";"ms_shelley_adds_e10";"bkl2011";242;;
"ox";"ms_shelley_adds_e11";"bkm2011";174;;
"ox";"ms_shelley_adds_e12";"bkn2011";244;;
"ox";"ms_shelley_adds_e13";"bko2011";99;;
"ox";"ms_shelley_adds_e14";"ahs2012";45;;
"ox";"ms_shelley_adds_e15";"aht2012";41;;
"ox";"ms_shelley_adds_e16";"ahu2012";70;"Y";
"ox";"ms_shelley_adds_e17";"aim2012";234;;
"ox";"ms_shelley_adds_e18";"ain2012";170;;
"ox";"ms_shelley_adds_e19";"aio2012";81;;
"ox";"ms_shelley_adds_e20";"ajw2012";112;;
"ox";"ms_shelley_adds_f1";"akm2012";7;;
"ox";"ms_shelley_c1";"anz2012";25;;
"ox";"ms_shelley_d1";"abb2012";335;"Y";
"ox";"ms_shelley_d3";"ajv2012";76;;
"ox";"ms_shelley_e1";"bhq2011";0;;"Have not received."
"ox";"ms_shelley_e2";"bhs2011";0;;"Have not received."
"ox";"ms_shelley_e3";"bhs2011";86;;
"ox";"ms_shelley_e4";"biq2011";176;"Y";
"ox";"ms_shelley_e5";"akt2012";3;;
"ox";"ms_shelley_e6";"bir2011";40;;
"ox";"pr_shelley_e3";"ako2012";23;;
